selection,view,channel,start_time,end_time,LowFreq,HighFreq,sound_category,sound_type,confidence,notes,name,filename
10,Spectrogram 1,1,1320.442588,1321.491807,43.478,2573.913,elephant_vocalization,unidentified,3,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
11,Spectrogram 1,1,1467.902433,1470.313404,30.978,477.297,elephant_vocalization,rumble,2,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
12,Spectrogram 1,1,1520.943783,1521.836735,35.74,8000,elephant_sound,snort,3,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
13,Spectrogram 1,1,1522.10462,1524.582562,32.609,1099.858,elephant_vocalization,roar_rumble,3,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
14,Spectrogram 1,1,1637.373563,1638.199543,58.696,7655.67,elephant_sound,snort,3,,Giot,0mCage_Swift1_20210913_100003.wav
15,Spectrogram 1,1,2392.688047,2393.770751,86.957,4008.696,elephant_vocalization,trumpet,3,"Chris, from far away",Giot,0mCage_Swift1_20210913_100003.wav
16,Spectrogram 1,1,164.7603604,169.0911776,20.924,57.88,elephant_vocalization,rumble,3,Chris,giot,0mCage_Swift1_20210913_100003.wav
17,Spectrogram 1,1,169.3144156,172.6406618,19.407,189.074,elephant_vocalization,rumble,3,Chris,giot,0mCage_Swift1_20210913_100003.wav
1,Spectrogram 1,1,1063.156671,1063.661801,452.2,3089.7,elephant_vocalization,trumpet,3,Chris,Giot,0mCage_Swift1_20210913_153140.wav
2,Spectrogram 1,1,1069.549721,1070.907258,510.3,7953.9,elephant_vocalization,trumpet,3,Chris,Giot,0mCage_Swift1_20210913_153140.wav
3,Spectrogram 1,1,2803.345087,2804.023855,82.6,5526.1,elephant_sound,snort,3,,Giot,0mCage_Swift1_20210913_153140.wav
4,Spectrogram 1,1,2853.510804,2854.142216,33.8,8000,elephant_vocalization,trumpet,3,Olive,Giot,0mCage_Swift1_20210913_153140.wav
5,Spectrogram 1,1,2931.285029,2934.663085,18.1,57.6,elephant_vocalization,rumble,1,Agustin,Giot,0mCage_Swift1_20210913_153140.wav
6,Spectrogram 1,1,2957.172938,2960.661492,16.1,133,elephant_vocalization,rumble,1,Agustin,Giot,0mCage_Swift1_20210913_153140.wav
7,Spectrogram 1,1,3021.781648,3024.750713,13.8,133.7,elephant_vocalization,rumble,1,Agustin,Giot,0mCage_Swift1_20210913_153140.wav
8,Spectrogram 1,1,3026.43616,3027.150522,42.9,8000,elephant_vocalization,trumpet,3,Sari (when Theo passed),Giot,0mCage_Swift1_20210913_153140.wav
1,Spectrogram 1,1,504.1670327,505.098366,69.6,8000,elephant_vocalization,trumpet,3,Chris,Giot,0mCage_Swift1_20210916_150000.wav
2,Spectrogram 1,1,2403.300288,2404.706687,18.5,259.8,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210916_150000.wav
1,Spectrogram 1,1,150.3807429,151.2199211,32.3,5855.8,elephant_sound,snort,3,,Giot,0mCage_Swift1_20210916_230100.wav
2,Spectrogram 1,1,153.3407535,156.5601464,13.8,88.4,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210916_230100.wav
3,Spectrogram 1,1,1616.64906,1617.457722,95.3,5174.6,elephant_sound,breathing,3,,Giot,0mCage_Swift1_20210916_230100.wav
4,Spectrogram 1,1,3137.031675,3139.350859,23.1,174.5,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210916_230100.wav
1,Spectrogram 1,1,200.7417939,201.4837035,6.1,7935.4,elephant_vocalization,roar,3,Chris,Giot,0mCage_Swift1_20210917_000000.wav
2,Spectrogram 1,1,845.3514023,845.8565322,43,6050.8,elephant_vocalization,trumpet,1,Boni,Giot,0mCage_Swift1_20210917_000000.wav
3,Spectrogram 1,1,1014.943266,1015.445551,543.5,5989.402,elephant_vocalization,trumpet,3,Boni,Giot,0mCage_Swift1_20210917_000000.wav
1,Spectrogram 1,1,834.1050326,834.6101625,1026.8,8000,elephant_vocalization,trumpet,1,maybe Boni,Giot,0mCage_Swift1_20210918_060100.wav
1,Spectrogram 1,1,169.082844,169.7346548,45.7,7595.7,elephant_sound,splatter_sand_and_water,3,maybe Agustin,Giot,0mCage_Swift1_20210918_090100.wav
2,Spectrogram 1,1,338.3829279,341.5023079,18.2,343.478,elephant_vocalization,rumble,3,"Agustin, when she sees Chris, her son",Giot,0mCage_Swift1_20210918_090100.wav
3,Spectrogram 1,1,344.776881,350.2838516,28.261,105.435,elephant_vocalization,rumble,3,"Agustin, when see communicate with her son",Giot,0mCage_Swift1_20210918_090100.wav
4,Spectrogram 1,1,685.6583963,688.8398536,16.9,236,elephant_vocalization,rumble,3,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
5,Spectrogram 1,1,694.1629747,695.4821156,84.5,7838,elephant_sound,unidentified,1,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
6,Spectrogram 1,1,941.835636,946.5804313,16.909,166.401,elephant_vocalization,rumble,3,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
7,Spectrogram 1,1,950.8213128,951.7524711,91.1,7650,elephant_sound,unidentified,1,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
8,Spectrogram 1,1,1199.813021,1202.808247,17.4,101.1,elephant_vocalization,rumble,3,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
9,Spectrogram 1,1,1201.939166,1203.087594,17.4,1633.6,elephant_sound,unidentified,1,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
10,Spectrogram 1,1,1252.113075,1255.853227,19.6,827.2,elephant_vocalization,unidentified,2,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
11,Spectrogram 1,1,1326.450617,1330.718883,18.8,109.5,elephant_vocalization,rumble,2,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
12,Spectrogram 1,1,1591.412128,1592.094977,64.6,1772.4,elephant_sound,unidentified,1,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
13,Spectrogram 1,1,3052.424073,3053.029326,52.2,2051.9,elephant_sound,snort,3,Olive,Giot,0mCage_Swift1_20210918_090100.wav
14,Spectrogram 1,1,3061.549424,3062.232273,67.4,4953,elephant_sound,snort,3,Olive,Giot,0mCage_Swift1_20210918_090100.wav
15,Spectrogram 1,1,346.5966531,351.5129177,17.935,173.37,elephant_vocalization,rumble,3,Agustin,Giot,0mCage_Swift1_20210918_090100.wav
16,Spectrogram 1,1,1330.718883,1335.459566,29.909,138.386,elephant_vocalization,rumble,3,Eropa,Giot,0mCage_Swift1_20210918_090100.wav
1,Spectrogram 1,1,1056.809906,1057.346492,721.7,3135.9,elephant_vocalization,trumpet,3,"don't know which elephants, dari jauh",Giot,0mCage_Swift1_20210918_160000.wav
2,Spectrogram 1,1,1201.672364,1202.145822,442.7,4894.4,elephant_vocalization,trumpet,3,Chris/Berti ketika mandi,Giot,0mCage_Swift1_20210918_160000.wav
3,Spectrogram 1,1,1202.161604,1203.045393,556.5,4442.9,elephant_vocalization,trumpet,3,Chris/Berti ketika mandi,Giot,0mCage_Swift1_20210918_160000.wav
4,Spectrogram 1,1,1263.427108,1264.295115,58.7,2176.7,elephant_vocalization,trumpet,3,"don't know which elephants, dari sungai",Giot,0mCage_Swift1_20210918_160000.wav
5,Spectrogram 1,1,1273.669589,1274.285085,313.6,7799.8,elephant_vocalization,trumpet,3,"don't know which elephants, dari sungai",Giot,0mCage_Swift1_20210918_160000.wav
7,Spectrogram 1,1,2241.386791,2243.564699,20.8,99.9,elephant_vocalization,rumble,2,don't know which elephants,Giot,0mCage_Swift1_20210918_160000.wav
8,Spectrogram 1,1,2260.198868,2265.596292,15.8,187,elephant_vocalization,rumble,1,Theo,Giot,0mCage_Swift1_20210918_160000.wav
9,Spectrogram 1,1,2461.513337,2462.302434,19.2,3658.4,elephant_vocalization,trumpet,3,Sari,Giot,0mCage_Swift1_20210918_160000.wav
10,Spectrogram 1,1,2470.887811,2477.784521,18.7,247.5,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_160000.wav
11,Spectrogram 1,1,2483.379533,2493.945231,14.13,189.674,elephant_vocalization,rumble,1,Theo,Giot,0mCage_Swift1_20210918_160000.wav
12,Spectrogram 1,1,2504.298185,2507.280973,19.8,178.8,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_160000.wav
13,Spectrogram 1,1,2550.618189,2554.184908,19.2,165.2,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_160000.wav
14,Spectrogram 1,1,2566.400132,2570.44031,14.9,49.5,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_160000.wav
1,Spectrogram 1,1,759.5457609,760.6941893,7.7,3714.6,elephant_sound,unidentified,1,Theo,Giot,0mCage_Swift1_20210918_180100.wav
2,Spectrogram 1,1,1009.437589,1010.042842,7.7,5375.6,elephant_sound,unidentified,3,Theo,Giot,0mCage_Swift1_20210918_180100.wav
3,Spectrogram 1,1,1160.269701,1160.96807,33.8,4212.4,elephant_sound,unidentified,2,Theo,Giot,0mCage_Swift1_20210918_180100.wav
4,Spectrogram 1,1,1367.080019,1367.576636,218.3,8000,elephant_sound,snort,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
5,Spectrogram 1,1,1813.120512,1817.450398,18.1,180.6,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
6,Spectrogram 1,1,1826.99477,1830.176227,15.4,145.3,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
7,Spectrogram 1,1,1958.505349,1960.429743,15.8,132.6,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
8,Spectrogram 1,1,2549.201197,2554.912301,15.2,42.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
9,Spectrogram 1,1,2557.147081,2561.678717,16.3,175.5,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
10,Spectrogram 1,1,2576.747956,2583.560936,17.4,268.213,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
11,Spectrogram 1,1,2584.585205,2589.085808,17.9,177.545,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
12,Spectrogram 1,1,2599.592371,2604.108494,18.4,264.396,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
13,Spectrogram 1,1,2607.010598,2615.592773,12.3,206.475,elephant_vocalization,rumble,3,Theo,Giot,0mCage_Swift1_20210918_180100.wav
14,Spectrogram 1,1,2624.392219,2625.819995,16.3,1512.6,elephant_sound,unidentified,2,Theo,Giot,0mCage_Swift1_20210918_180100.wav
15,Spectrogram 1,1,2632.958874,2638.328553,14.6,156.8,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
16,Spectrogram 1,1,2656.734447,2661.80926,13.8,50,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
17,Spectrogram 1,1,2666.30988,2669.956916,16.1,149.1,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
18,Spectrogram 1,1,2707.52915,2710.958916,14.6,144.5,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
19,Spectrogram 1,1,2730.070997,2733.516283,16.9,131.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
20,Spectrogram 1,1,2762.304591,2767.363884,13.1,149.9,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
21,Spectrogram 1,1,3004.048794,3010.334112,14.6,172.2,elephant_vocalization,rumble,3,Theo,Giot,0mCage_Swift1_20210918_180100.wav
22,Spectrogram 1,1,3015.610675,3018.373111,17.9,155.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
23,Spectrogram 1,1,3019.164595,3028.181311,14.13,182.609,elephant_vocalization,rumble,3,Theo,Giot,0mCage_Swift1_20210918_180100.wav
24,Spectrogram 1,1,3249.432264,3255.228724,17.678,161.405,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
25,Spectrogram 1,1,3273.231116,3276.397054,16.9,180.62,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
26,Spectrogram 1,1,3292.638005,3295.462518,47.7,139.1,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
27,Spectrogram 1,1,3297.914568,3304.432676,41.5,169.9,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
28,Spectrogram 1,1,3428.850934,3430.868443,20,142.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
29,Spectrogram 1,1,2571.269647,2577.415291,13.835,183.694,elephant_sound,unidentified,1,Theo,Giot,0mCage_Swift1_20210918_180100.wav
30,Spectrogram 1,1,2581.264079,2585.485329,26.901,133.735,elephant_vocalization,rumble,2,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
31,Spectrogram 1,1,2588.961653,2592.872518,16.909,265.165,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
32,Spectrogram 1,1,2587.316607,2597.186884,13.835,181.388,elephant_vocalization,rumble,,don't know which elephants,Giot,0mCage_Swift1_20210918_180100.wav
1,Spectrogram 1,1,974.2377947,977.3159302,18.5,162.5,elephant_vocalization,rumble,2,don't know which elephants,Giot,0mCage_Swift1_20210918_190100.wav
2,Spectrogram 1,1,1869.470574,1870.165128,35.9,8000,elephant_sound,snort,3,don't know which elephants,Giot,0mCage_Swift1_20210918_190100.wav
3,Spectrogram 1,1,1883.48793,1888.33402,15.8,229.9,elephant_vocalization,rumble,1,Theo,Giot,0mCage_Swift1_20210918_190100.wav
4,Spectrogram 1,1,1892.343489,1899.462664,17.9,134.8,elephant_vocalization,rumble,1,Theo,Giot,0mCage_Swift1_20210918_190100.wav
5,Spectrogram 1,1,1897.678924,1899.494235,16.9,3129.2,elephant_vocalization,trumpet,3,don't know which elephants,Giot,0mCage_Swift1_20210918_190100.wav
6,Spectrogram 1,1,1907.11854,1908.886495,15.4,1072.8,elephant_vocalization,unidentified,3,don't know which elephants,Giot,0mCage_Swift1_20210918_190100.wav
1,Spectrogram 1,1,1194.311371,1194.901105,20,5150.1,elephant_sound,snort,3,don't know which elephants,Giot,0mCage_Swift1_20210918_200100.wav
2,Spectrogram 1,1,1203.863503,1207.26223,16.9,157.9,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_200100.wav
3,Spectrogram 1,1,2400.308917,2405.538923,14.7,217.5,elephant_vocalization,rumble,1,Theo,Giot,0mCage_Swift1_20210918_200100.wav
1,Spectrogram 1,1,427.3399264,427.7187738,34.5,1257.4,elephant_sound,snort,3,dont know which elephant,Giot,0mCage_Swift1_20210918_210100.wav
2,Spectrogram 1,1,1360.741123,1367.702445,19.1,138.6,elephant_vocalization,rumble,3,don't know which elephant,Giot,0mCage_Swift1_20210918_210100.wav
1,Spectrogram 1,1,194.0844119,198.0573536,14.6,140.7,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_220100.wav
1,Spectrogram 1,1,43.30159784,44.26283838,39.2,7621.7,elephant_vocalization,trumpet,3,berti/yuni/agustin,Giot,0mCage_Swift1_20210918_230100.wav
2,Spectrogram 1,1,45.95646753,49.84720307,18.5,70.7,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210918_230100.wav
3,Spectrogram 1,1,3017.776684,3018.63112,10.9,8000,elephant_sound,unidentified,3,Theo,Giot,0mCage_Swift1_20210918_230100.wav
1,Spectrogram 1,1,950.2433729,956.6679943,53.4,181,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210919_000000.wav
2,Spectrogram 1,1,1274.615719,1280.519425,52.2,177.2,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210919_000000.wav
3,Spectrogram 1,1,1283.29764,1290.716736,50,144.6,elephant_vocalization,rumble,1,don't know which elephants,Giot,0mCage_Swift1_20210919_000000.wav
4,Spectrogram 1,1,1308.50678,1316.762498,48.9,183.2,elephant_vocalization,rumble,1,don't know which elephants,Giot,0mCage_Swift1_20210919_000000.wav
5,Spectrogram 1,1,2244.244203,2245.570169,24.6,1455.9,elephant_sound,unidentified,1,Theo,Giot,0mCage_Swift1_20210919_000000.wav
6,Spectrogram 1,1,2294.772982,2295.656959,6,1507.5,elephant_sound,unidentified,1,Theo,giot,0mCage_Swift1_20210919_000000.wav
1,Spectrogram 1,1,2118.074684,2124.003058,14.6,193.7,elephant_vocalization,rumble,3,Theo,Giot,0mCage_Swift1_20210919_050100.wav
2,Spectrogram 1,1,2125.260121,2130.397017,19,204.4,elephant_vocalization,rumble,3,dont know from which elephant,Giot,0mCage_Swift1_20210919_050100.wav
3,Spectrogram 1,1,2130.64534,2140.934639,15.4,179.9,elephant_vocalization,rumble,3,Theo,Giot,0mCage_Swift1_20210919_050100.wav
4,Spectrogram 1,1,2153.427733,2159.257546,16.9,238.3,elephant_vocalization,rumble,1,dont know from which elephant,Giot,0mCage_Swift1_20210919_050100.wav
1,Spectrogram 1,1,1200.504528,1205.982031,20,282.8,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
2,Spectrogram 1,1,1446.029299,1446.992203,13.8,5580.5,elephant_sound,snort,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
3,Spectrogram 1,1,1477.820947,1482.966958,13.8,255.2,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
4,Spectrogram 1,1,1506.092487,1510.354521,19.022,175.2,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
5,Spectrogram 1,1,2335.563283,2336.762966,26.1,7893.6,elephant_sound,snort,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
6,Spectrogram 1,1,3152.996369,3157.195262,17.4,71.2,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
7,Spectrogram 1,1,3111.093961,3116.697746,17.4,160.3,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
8,Spectrogram 1,1,3053.561059,3058.107228,18.4,175.2,elephant_vocalization,rumble,1,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
9,Spectrogram 1,1,3064.610776,3072.314008,12,220.1,elephant_vocalization,rumble,2,Theo,Giot,0mcage_Swift1_20210919_060100.wav
10,Spectrogram 1,1,3212.976926,3216.449695,20.7,248.4,elephant_vocalization,rumble,2,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
11,Spectrogram 1,1,3245.005391,3249.298996,26.9,234.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
12,Spectrogram 1,1,3345.873572,3351.145865,17.9,201.4,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
13,Spectrogram 1,1,3425.178972,3429.851424,16.1,179.9,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
14,Spectrogram 1,1,1510.607086,1513.132736,16.304,138.043,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
15,Spectrogram 1,1,1203.203816,1208.50768,19.215,266.702,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
16,Spectrogram 1,1,1229.596855,1234.269307,27.669,226.735,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
17,Spectrogram 1,1,1236.163544,1240.583431,19.215,168.322,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
18,Spectrogram 1,1,1232.753917,1236.542392,16.14,169.091,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mcage_Swift1_20210919_060100.wav
1,Spectrogram 1,1,419.8127141,424.7168141,25.4,139.1,elephant_vocalization,rumble,3,don't know which elephants,Giot,0mCage_Swift1_20210919_070100.wav
2,Spectrogram 1,1,421.5043182,422.3703446,19,7988.5,elephant_sound,snort,3,don't know which elephants,Giot,0mCage_Swift1_20210919_070100.wav
3,Spectrogram 1,1,2244.559794,2254.962961,17.9,1600,elephant_vocalization,roar_rumble,3,Berti,Giot,0mCage_Swift1_20210919_070100.wav
